,type,time,a,e,i,aT,eT,iT,x,y,z,vx,vy,vz,latitude,longitude,altitude,q_dot
0,orbit,361440,6865.9986565679965,0.0005364561136829794,51.600000000000044,6943.1,0.001,51.6,1716.2286757297065,-5576.184460992946,-3625.5768040594294,4.516140801200738,4.260560967313145,-4.410723757259865,-32.01799883437653,-2.0193439160572297,496907.0289622033,-81407950.44981553
0,orbit,361620,6866.068406140388,0.0005285860805853608,51.600000000000044,6943.1,0.001,51.6,2489.6641117614763,-4703.632736565463,-4342.246333257734,4.049036284544448,5.402301688740346,-3.525802305699056,-39.38663378540547,9.518044770786654,499034.8508435581,-81264261.04926772
0,orbit,361800,6866.138168573454,0.0005222742334012866,51.600000000000044,6943.1,0.001,51.6,3164.2069885283977,-3644.2385132827326,-4886.434168231108,3.4209678938425436,6.329686574239727,-2.5006076355867615,-45.53340529353087,23.344547763572614,500748.2035691319,-81120312.81014162
0,orbit,361980,6866.207949839875,0.000517832430270146,51.600000000000044,6943.1,0.001,51.6,3713.031511891612,-2440.0475198405943,-5236.475512407474,2.656790213733489,7.005793565382521,-1.375770141727341,-49.86211526284255,39.818355128220325,501715.01416099817,-80976020.57520646
0,orbit,362160,6866.277747180462,0.0005154879790232634,51.600000000000044,6943.1,0.001,51.6,4114.290182485663,-1138.8775659842818,-5378.403913143043,1.7867823353195222,7.4036259428137425,-0.19591552951567417,-51.73346372636601,58.40900303644373,501711.64146095235,-80831337.13706428
0,orbit,362340,6866.347533287392,0.0005153630165317707,51.600000000000044,6943.1,0.001,51.6,4351.986372283734,207.57245414910432,-5306.514172463892,0.845461309179322,7.50720445105264,0.9920931998188058,-50.78704487760973,77.36439929510439,500660.6099907728,-80686290.8341397
0,orbit,362520,6866.417322527968,0.0005174633493588527,51.600000000000044,6943.1,0.001,51.6,4416.616987646481,1545.7719891076047,-5023.59902269266,-0.1297778209984853,7.312229080072631,2.141010868379224,-47.21015660129482,94.67527845930529,498646.10758837126,-80540850.4399371
0,orbit,362700,6866.487106122462,0.0005216783816908624,51.600000000000044,6943.1,0.001,51.6,4305.558584854933,2822.486220684475,-4540.848547905772,-1.100143370671958,6.826279811615529,3.205089911366679,-41.5901738767742,109.38442647109923,495904.8726410093,-80395060.02149479
0,orbit,362880,6866.556893814987,0.0005277926852607984,51.600000000000044,6943.1,0.001,51.6,4023.18023348055,3986.897001160956,-3877.4146377793195,-2.026991747374519,6.068543651245322,4.141909925195359,-34.560943671606445,121.63031438902742,492793.5194221372,-80248949.6653433
0,orbit,363060,6866.626649227317,0.0005354986513132415,51.60000000000003,6943.1,0.001,51.6,3580.677239186261,4992.632338460106,-3059.6562464075473,-2.873373797512195,5.069074075898437,4.914082522309056,-26.616082234245855,131.99409992135315,489736.7308062287,-80102666.53747173
0,orbit,363240,6866.696389270611,0.0005444305063577571,51.60000000000002,6943.1,0.001,51.6,2995.6311101833744,5799.622291134979,-2120.0943443756764,-3.605519758230832,3.867608790243039,5.490760865109197,-18.098553931457804,141.07661246475806,487163.7569013238,-79956260.87564565
0,orbit,363420,6866.766116820363,0.0005541831635137438,51.60000000000003,6943.1,0.001,51.6,2291.3124030932595,6375.705529360394,-1096.1175847175055,-4.194201194587682,2.511990524595028,5.848890067186595,-9.246795632254216,149.37848991327263,485442.8494156627,-79809821.22333977
0,orbit,363600,6866.835887372867,0.0005643448698246632,51.60000000000003,6943.1,0.001,51.6,1495.7538294883295,6697.920489940758,-28.49032422383609,-4.615912724519559,1.0562535444574888,5.97414495912475,-0.23934266016031164,157.30953323311726,484824.1093274271,-79663329.05076902
0,orbit,363780,6866.905638529927,0.0005744924885374851,51.60000000000003,6943.1,0.001,51.6,640.6307017456642,6753.427749452398,1040.2768485632075,-4.85382326673138,-0.44154640081413477,5.861514338393008,8.772033561804813,165.23124026870914,485400.30233920645,-79517012.09111199
0,orbit,363960,6866.975403690502,0.0005842385196622474,51.60000000000003,6943.1,0.001,51.6,-240.00598453957627,6540.025356531105,2067.6278955151142,-4.898456452588141,-1.9216689452519586,5.515506285378194,17.636211880239813,173.50385860719973,487092.4098996669,-79370891.85240014
0,orbit,364140,6867.045185109341,0.0005932247531452351,51.60000000000002,6943.1,0.001,51.6,-1111.0922918868987,6066.235784449889,3012.6641299553316,-4.748071052797265,-3.3250954026240995,4.949965011192057,26.176794041757276,-177.46653327752762,489662.4520328818,-79225047.37889022
0,orbit,364320,6867.114947470085,0.0006011315643997467,51.60000000000002,6943.1,0.001,51.6,-1937.9542820738432,5350.961052463385,3837.779558652211,-4.408725767625697,-4.595903796539075,4.187507232182675,34.159499851836934,-167.18489876230439,492751.31482673157,-79079626.00844733
0,orbit,364500,6867.184746919182,0.0006076975558469478,51.60000000000002,6943.1,0.001,51.6,-2687.6939570273044,4422.720615976351,4510.16223534794,-3.894026428258852,-5.683513683141597,3.258602471293253,41.248137344890445,-155.05456963572013,495935.01553345285,-78934573.23862395
0,orbit,364680,6867.254523422158,0.0006127032839635227,51.60000000000002,6943.1,0.001,51.6,-3330.501898511967,3318.503936595736,5003.100894383565,-3.2245673327259796,-6.544707862001003,2.200336902956565,46.957746928479935,-140.48624136732778,498789.95852188393,-78790063.7543188
0,orbit,364860,6867.324313290177,0.000615991784988659,51.60000000000002,6943.1,0.001,51.6,-3840.8436089611764,2082.285477122963,5297.044493361234,-2.4270918932085794,-7.145349045025547,1.054913962973245,50.65935707714236,-123.30159128993117,500956.70093734656,-78646059.55132031
0,orbit,365040,6867.394100394637,0.0006174594273266755,51.600000000000016,6943.1,0.001,51.6,-4198.472161530214,763.2633926517301,5380.3728660813285,-1.533408958795948,-7.461723069915385,-0.13204493170488973,51.75487724345997,-104.38911417484434,502192.5082461927,-78502617.92813537
0,orbit,365220,6867.463886092758,0.0006170607251483881,51.600000000000016,6943.1,0.001,51.6,-4389.227216944069,-586.1059731172443,5249.848802965771,-0.5791112400245421,-7.481457571780482,-1.3133285035020923,50.02846726549337,-85.72759833652974,502405.1155211497,-78359746.68311138
0,orbit,365400,6867.533657919441,0.0006148082964639718,51.60000000000001,6943.1,0.001,51.6,-4405.589519340201,-1912.198127784275,4910.735079139765,0.3978506281157447,-7.203983123431677,-2.442017666483243,45.8156734148482,-69.118691262495,501663.0929309223,-78217468.34020054
0,orbit,365580,6867.603432470959,0.0006107711536693606,51.60000000000001,6943.1,0.001,51.6,-4246.970090147956,-3162.351135069361,4376.57354589186,1.3586799561140117,-6.640523301533812,-3.4733458423676056,39.750598637207915,-55.15750151909725,500181.5961227203,-78075732.76860258
0,orbit,365760,6867.67318313201,0.0006050782073050984,51.60000000000001,6943.1,0.001,51.6,-3919.7240932903255,-4286.952396572377,3668.6368473524044,2.265271188444752,-5.813618969541541,-4.366464281475704,32.43642072710665,-43.515181125447775,498285.71733973455,-77934564.22238672
0,orbit,365940,6867.742905288355,0.0005979135154946189,51.60000000000001,6943.1,0.001,51.6,-3436.890266708902,-5241.399517501249,2815.076079496439,3.0817120844799732,-4.756210324092232,-5.086044430929425,24.32034990564106,-33.57891815918702,496356.8598520728,-77793929.00071596
0,orbit,366120,6867.812639811505,0.0005895096003554498,51.60000000000001,6943.1,0.001,51.6,-2817.667476680562,-5987.859006434185,1849.7992902570652,3.7756931023322617,-3.5103164208221513,-5.603656898998396,15.709763357137883,-24.77317032359386,494770.21016409155,-77653689.34913208
0,orbit,366300,6867.882361082323,0.0005801578001325418,51.599999999999994,6943.1,0.001,51.6,-2086.649972428445,-6496.75503026807,811.1257729328344,4.319770687824927,-2.125366311831987,-5.898876005140342,6.820931529932478,-16.627314693118887,493833.06009459216,-77513829.49626191
0,orbit,366480,6867.952073938669,0.0005701923172436299,51.60000000000001,6943.1,0.001,51.6,-1272.8519746376153,-6747.931299864291,-259.73067626036493,4.692437536662732,-0.6562479545324326,-5.960070008253867,-2.1796188122585187,-8.75120858484503,493733.98088797834,-77374261.51430145
0,orbit,366660,6868.021818189076,0.0005599816545573397,51.599999999999994,6943.1,0.001,51.6,-408.5600132712381,-6731.441951398989,-1320.2902415479193,4.878960342163172,0.8388498144386328,-5.7848487535626525,-11.14464145258406,-0.790318043723186,494511.38802966103,-77234818.43132217
0,orbit,366840,6868.091553384896,0.0005499354756541169,51.59999999999999,6943.1,0.001,51.6,471.9422298987474,-6447.941483838531,-2328.4840503524106,4.871954270153329,2.300720079523627,-5.380153095664702,-19.92093164703699,7.621167649124757,496046.9144382905,-77095486.95234168
