,t,a,e,i
0,46620,6794.792784559851,0.0005970746631214687,51.60000000000007
0,46800,6794.7915048610785,0.0005972443560314005,51.60000000000007
0,46980,6794.790318206164,0.0005974137991137266,51.60000000000007
0,47160,6794.789123563189,0.0005975895505406682,51.60000000000008
0,47340,6794.78780731518,0.0005977809447116848,51.60000000000008
0,47520,6794.786637946755,0.0005979420177388098,51.60000000000008
0,47700,6794.785479913747,0.0005980861222132638,51.60000000000009
0,47880,6794.784390302834,0.0005982016682219647,51.60000000000009
0,48060,6794.783440227389,0.0005982808193862571,51.6000000000001
0,48240,6794.782387799964,0.0005983409898210261,51.6000000000001
0,48420,6794.781412978358,0.0005983689687688254,51.60000000000009
0,48600,6794.780498461536,0.0005983681072966294,51.60000000000009
0,48780,6794.779428012992,0.0005983354138181619,51.60000000000009
0,48960,6794.778239758137,0.0005982654432319915,51.6000000000001
0,49140,6794.776978621005,0.0005981584792309916,51.6000000000001
0,49320,6794.775572353682,0.0005980076246312445,51.6000000000001
0,49500,6794.774157675096,0.0005978303098212229,51.6000000000001
0,49680,6794.772639243152,0.0005976203517045795,51.6000000000001
0,49860,6794.771208419805,0.0005974121093782368,51.6000000000001
0,50040,6794.769637541975,0.0005971814458096115,51.60000000000011
0,50220,6794.768050830677,0.0005969559668080115,51.60000000000011
0,50400,6794.766620053791,0.0005967677765120244,51.60000000000011
0,50580,6794.765384541007,0.0005966250192742076,51.60000000000011
0,50760,6794.764148013762,0.0005965077923759501,51.60000000000011
0,50940,6794.76305621183,0.0005964311943571121,51.60000000000012
0,51120,6794.762074748351,0.0005963893614281097,51.60000000000012
0,51300,6794.761136849736,0.0005963768567056113,51.60000000000012
0,51480,6794.760087251303,0.0005963941869954697,51.60000000000012
0,51660,6794.759042356423,0.0005964419188677512,51.60000000000012
0,51840,6794.75800577125,0.0005965175619069144,51.60000000000011
0,52020,6794.756872165457,0.0005966278237781752,51.60000000000011
0,52200,6794.755734470213,0.0005967615734441735,51.60000000000011
0,52380,6794.7544969560295,0.0005969261953860242,51.60000000000011
0,52560,6794.753217544318,0.0005971091856987315,51.60000000000012
0,52740,6794.752086347393,0.0005972756491102883,51.60000000000013
0,52920,6794.750948832601,0.0005974408753556576,51.60000000000013
0,53100,6794.749766637505,0.0005976033035803594,51.60000000000013
0,53280,6794.748637578417,0.0005977432097042746,51.60000000000013
0,53460,6794.747595060746,0.0005978530517803518,51.60000000000012
0,53640,6794.746576699643,0.0005979370686942874,51.60000000000011
0,53820,6794.745608411905,0.0005979915540723633,51.60000000000011
0,54000,6794.744660595799,0.0005980178454923999,51.60000000000011
0,54180,6794.743603028403,0.0005980158139633937,51.60000000000011
0,54360,6794.742543347805,0.0005979824374238537,51.60000000000011
0,54540,6794.74146113934,0.0005979177416667928,51.60000000000011
0,54720,6794.740265931672,0.0005978154123409253,51.60000000000011
0,54900,6794.738964089031,0.0005976748850807532,51.60000000000011
0,55080,6794.73743990409,0.0005974830621502194,51.60000000000011
0,55260,6794.735914815621,0.0005972716751230273,51.60000000000011
0,55440,6794.734270791678,0.0005970321735605658,51.60000000000011
0,55620,6794.732633926376,0.0005967919178948288,51.60000000000011
0,55800,6794.731173713062,0.0005965847893762907,51.60000000000011
0,55980,6794.729722460244,0.0005963945489570684,51.60000000000011
0,56160,6794.728316388622,0.0005962329466728728,51.60000000000011
0,56340,6794.727167385981,0.0005961248880750198,51.60000000000011
0,56520,6794.726080085427,0.0005960495515017632,51.60000000000011
0,56700,6794.725001712971,0.0005960046108114803,51.60000000000011
0,56880,6794.72391472585,0.0005959911956859614,51.60000000000011
0,57060,6794.722941222841,0.0005960082334266537,51.60000000000011
0,57240,6794.722019446707,0.0005960512109817646,51.60000000000011
0,57420,6794.720949329422,0.0005961302217785559,51.60000000000011
0,57600,6794.719908030571,0.0005962322787330107,51.60000000000011
0,57780,6794.718665380234,0.0005963791065828367,51.60000000000012
0,57960,6794.717447357675,0.0005965416513252345,51.60000000000012
0,58140,6794.716239883965,0.0005967146346923381,51.60000000000012
0,58320,6794.7150825087865,0.0005968849904196838,51.60000000000013
0,58500,6794.713747815023,0.0005970786361519413,51.60000000000013
0,58680,6794.712616012706,0.0005972337343609241,51.60000000000013
0,58860,6794.711398817892,0.0005973839078061877,51.60000000000013
0,59040,6794.710327156695,0.0005974960780506058,51.60000000000012
0,59220,6794.709286973599,0.0005975810422281512,51.60000000000012
0,59400,6794.708205420307,0.0005976409142741696,51.60000000000011
0,59580,6794.707129122868,0.0005976697309788076,51.60000000000011
0,59760,6794.706231671034,0.000597667125060177,51.60000000000011
0,59940,6794.70510566542,0.0005976305769867957,51.60000000000011
0,60120,6794.703974027016,0.0005975619110059004,51.6000000000001
0,60300,6794.702739125146,0.0005974551989920572,51.6000000000001
0,60480,6794.701524304211,0.0005973232564782915,51.60000000000011
0,60660,6794.700082865676,0.0005971411155300243,51.60000000000011
0,60840,6794.698588046598,0.0005969334340249842,51.60000000000012
0,61020,6794.697004424603,0.0005967025200640099,51.60000000000012
0,61200,6794.695481397655,0.000596479074293558,51.60000000000012
0,61380,6794.69387533895,0.0005962516819176206,51.600000000000136
0,61560,6794.692379261121,0.0005960562412605234,51.600000000000136
0,61740,6794.691033583626,0.0005959024151920013,51.60000000000014
0,61920,6794.689797984768,0.0005957871572676019,51.60000000000014
0,62100,6794.68870589949,0.0005957124480311538,51.600000000000136
0,62280,6794.687604083302,0.0005956675824303302,51.60000000000014
0,62460,6794.686561648874,0.0005956557508683174,51.600000000000165
0,62640,6794.685649243459,0.0005956726189866077,51.600000000000165
0,62820,6794.684739665951,0.0005957158832547021,51.600000000000165
0,63000,6794.683666010211,0.000595796075864842,51.600000000000165
0,63180,6794.682482695266,0.000595912928059224,51.60000000000017
0,63360,6794.681420661175,0.0005960390430822828,51.600000000000165
0,63540,6794.680327334545,0.0005961854031129425,51.600000000000165
0,63720,6794.679026861094,0.0005963720048234807,51.60000000000017
0,63900,6794.677830630699,0.0005965481130785577,51.60000000000017
0,64080,6794.676500984562,0.0005967407973394122,51.60000000000017
0,64260,6794.675345420051,0.0005968987296443834,51.600000000000165
0,64440,6794.674127835961,0.0005970482896039157,51.600000000000165
0,64620,6794.672959384649,0.0005971697750683195,51.600000000000165
0,64800,6794.671906500345,0.0005972549092031394,51.600000000000165
0,64980,6794.670828398835,0.0005973136016459204,51.60000000000016
0,65160,6794.669864130071,0.000597338479172593,51.600000000000165
0,65340,6794.668882981816,0.0005973346579610794,51.600000000000165
0,65520,6794.667904133936,0.000597301939411677,51.600000000000186
0,65700,6794.66686011008,0.0005972376429184559,51.60000000000019
0,65880,6794.665549514005,0.0005971233340991215,51.600000000000186
0,66060,6794.664276558374,0.0005969842249798449,51.60000000000017
0,66240,6794.662905099148,0.000596810230257422,51.60000000000017
0,66420,6794.6615113438065,0.0005966161366208565,51.600000000000165
0,66600,6794.660054299648,0.0005964034920176026,51.600000000000165
0,66780,6794.6583493938215,0.0005961534884706773,51.600000000000165
0,66960,6794.656907854429,0.0005959497838526528,51.60000000000017
0,67140,6794.655601734314,0.0005957797609548416,51.600000000000186
0,67320,6794.654299990606,0.0005956317766570734,51.60000000000017
0,67500,6794.653169224422,0.0005955271701947578,51.60000000000017
0,67680,6794.651949653757,0.0005954448175428794,51.600000000000186
0,67860,6794.650800425977,0.0005953991267999814,51.60000000000019
0,68040,6794.649869053341,0.0005953894840864109,51.60000000000019
0,68220,6794.648887645845,0.0005954086003066361,51.600000000000186
0,68400,6794.647934615025,0.0005954548338048798,51.60000000000019
0,68580,6794.646852373842,0.0005955366012132355,51.60000000000019
0,68760,6794.645689631598,0.0005956522844723904,51.600000000000186
0,68940,6794.644631625331,0.0005957785460242863,51.600000000000186
0,69120,6794.643337099006,0.0005959523783135946,51.60000000000019
0,69300,6794.642079694705,0.0005961330811497002,51.600000000000186
0,69480,6794.640737367314,0.0005963307265198499,51.600000000000186
0,69660,6794.639367685336,0.0005965289642026688,51.600000000000186
0,69840,6794.63816818663,0.0005966924495534505,51.600000000000186
0,70020,6794.636947757655,0.0005968416805054069,51.60000000000017
0,70200,6794.635817794385,0.0005969583585457266,51.60000000000017
0,70380,6794.634688963371,0.0005970486850376607,51.600000000000165
0,70560,6794.633608762327,0.0005971064845027524,51.600000000000165
0,70740,6794.632624734234,0.0005971309003683878,51.600000000000165
0,70920,6794.631679370151,0.0005971262710440713,51.600000000000165
0,71100,6794.630598308367,0.0005970890820355401,51.600000000000165
0,71280,6794.6294722744515,0.0005970187148163116,51.600000000000165
0,71460,6794.628268590243,0.0005969127640044462,51.600000000000165
0,71640,6794.627025800554,0.0005967761206144174,51.60000000000017
0,71820,6794.625697393025,0.0005966069166694568,51.60000000000017
0,72000,6794.6242629956505,0.0005964067034382324,51.60000000000017
0,72180,6794.622680164187,0.0005961755074301725,51.600000000000186
0,72360,6794.621267312262,0.0005959684443434122,51.600000000000186
0,72540,6794.619758103218,0.0005957556015514784,51.60000000000019
0,72720,6794.618353092363,0.0005955733668291775,51.6000000000002
0,72900,6794.617103114356,0.0005954320682805732,51.60000000000019
0,73080,6794.615939832454,0.0005953253664306085,51.60000000000019
0,73260,6794.614845931741,0.0005952524785770997,51.60000000000019
0,73440,6794.613726198916,0.0005952090433462351,51.60000000000019
0,73620,6794.61263068119,0.0005951988013928394,51.60000000000019
0,73800,6794.6116809523655,0.0005952182504117886,51.600000000000186
0,73980,6794.610684223195,0.0005952675532512387,51.600000000000186
0,74160,6794.609561379626,0.0005953533615546796,51.60000000000019
0,74340,6794.608435013819,0.0005954662637263271,51.60000000000019
0,74520,6794.6072119840555,0.0005956129422562754,51.600000000000186
0,74700,6794.605960540576,0.0005957815073277904,51.60000000000017
0,74880,6794.604760607445,0.0005959542133264095,51.600000000000165
0,75060,6794.603589361709,0.0005961266857220478,51.600000000000165
0,75240,6794.602423105007,0.0005962952597134647,51.600000000000165
0,75420,6794.60122702567,0.0005964578163478089,51.600000000000165
0,75600,6794.600113561654,0.000596593335021463,51.600000000000165
0,75780,6794.599104551858,0.0005966967889282068,51.60000000000017
0,75960,6794.598002407576,0.0005967840340997451,51.60000000000017
0,76140,6794.597067492294,0.0005968331672025837,51.600000000000165
0,76320,6794.596147262776,0.0005968550679451295,51.600000000000165
0,76500,6794.595094616928,0.0005968488334770317,51.60000000000017
0,76680,6794.594002995737,0.0005968101945868964,51.60000000000017
0,76860,6794.59282600348,0.0005967355535388489,51.60000000000017
0,77040,6794.591551105571,0.000596622292362324,51.600000000000165
0,77220,6794.5902351353625,0.0005964767133121189,51.60000000000017
0,77400,6794.588735572029,0.0005962849481775669,51.600000000000165
0,77580,6794.587324086352,0.0005960874834235572,51.600000000000165
0,77760,6794.585776390756,0.0005958612380718578,51.60000000000017
0,77940,6794.584281968202,0.0005956423535502503,51.60000000000017
0,78120,6794.58274844353,0.0005954265299341914,51.600000000000165
0,78300,6794.58143796705,0.0005952571902881899,51.600000000000165
0,78480,6794.580204473677,0.0005951185625440205,51.60000000000017
0,78660,6794.578900665815,0.0005950000149208269,51.600000000000165
0,78840,6794.577818312664,0.0005949288862646206,51.600000000000165
0,79020,6794.576746500274,0.0005948883690950252,51.600000000000165
0,79200,6794.575645200555,0.0005948791980782744,51.600000000000165
0,79380,6794.574745120377,0.0005948985418440697,51.600000000000165
0,79560,6794.573665017023,0.0005949530093129884,51.60000000000017
0,79740,6794.572629813676,0.0005950330248143209,51.60000000000017
0,79920,6794.571464887398,0.0005951506632777712,51.600000000000186
0,80100,6794.5703124463535,0.0005952895577379163,51.600000000000186
0,80280,6794.569179601833,0.0005954426128603473,51.600000000000186
0,80460,6794.567891078511,0.000595628344457985,51.60000000000019
0,80640,6794.566649181978,0.0005958112301762768,51.60000000000019
0,80820,6794.565407473138,0.0005959904642605945,51.60000000000019
