,type,time,Mx,My,Mz,Fx,Fy,Fz,wx,wy,wz,q1,q2,q3,q4,q1e,q2e,q3e,q4e,a,e,i,raan,argp,nu,x,y,z,vx,vy,vz,Bbx,Bby,Bbz,Btx,Bty,Btz,latitude,longitude,altitude
0,attitude,129.6000000000012,-4.867889037432061e-07,-5.460480348644679e-07,6.1437075933327e-07,0,0,0,-0.001455813454583149,0.00041682438952937175,-0.0010958751705458752,-0.04610470545620557,-0.24810572614987794,-0.11215988846307902,0.961112929996464,-0.04277044114718076,-0.24958209917146318,-0.10792391552222505,0.9613698006467611,6795.097329514049,0.0005996086363565919,0.9005898940290682,1.3543754995475996,6.283137413499621,0.14652479046424105,841.3580234322367,6693.826328976807,776.7821292079304,-4.839455289894299,-0.08053314498711274,5.94161814519168,2.8309431814470038e-05,-7.63265137148842e-06,1.5715116368191526e-05,3.3240183181402915e-05,-1.175201122621954e-06,-5.960733770102328e-07,6.609223586916874,83.3782818644458,413210.6046017157
0,attitude,129.80000000000118,-4.878717927975731e-07,-5.457744343431892e-07,6.137827453264543e-07,0,0,0,-0.0014411773007992218,0.0004331976225596674,-0.001114288652905669,-0.04717494419995674,-0.2475852957013025,-0.1136007731818997,0.9610259675600363,-0.04277044114718076,-0.24958209917146318,-0.10792391552222505,0.9613698006467611,6795.097325344572,0.0005996080297033809,0.9005898940290681,1.3543754995475996,6.2831372640403655,0.14675063426274138,840.390110966653,6693.810051964169,777.9704330547758,-4.8396693233941654,-0.08223698067041714,5.941420271031333,2.8294995798225156e-05,-7.705789152203515e-06,1.5707297391961057e-05,3.324135624646326e-05,-1.1741855623555201e-06,-5.819692433258091e-07,6.619377590496075,83.3872563953033,413211.5993360402
0,attitude,130.00000000000117,-4.889566556349294e-07,-5.454968335830316e-07,6.131890607004395e-07,0,0,0,-0.0014265086011301738,0.00044956252756715834,-0.001132684324726682,-0.04822451995195101,-0.24705079879475786,-0.11505609129065304,0.9609382885217931,-0.04822451995195101,-0.24705079879475786,-0.11505609129065304,0.9609382885217931,6795.097320916922,0.0005996073855078417,0.9005898940290682,1.3543754995475996,6.28313710508396,0.14697648754939507,839.42215571901,6693.7934341848195,779.1586972965409,-4.839883110412834,-0.08394081206401681,5.941222094305811,2.8280499013082585e-05,-7.780177301043623e-06,1.569861545916326e-05,3.324252564040215e-05,-1.173170785005648e-06,-5.678643814627749e-07,6.629531456089417,83.39623125646798,413212.59556170646
0,attitude,130.20000000000115,-4.5759436164493396e-07,-5.348340818998365e-07,5.59278168951217e-07,0,0,0,-0.0014127807702808259,0.00046560755002415344,-0.0011494626697952186,-0.049254072966420676,-0.24650234207901736,-0.11652517819492364,0.9608498917585508,-0.04822451995195101,-0.24705079879475786,-0.11505609129065304,0.9609382885217931,6795.097317098128,0.00059960682991539,0.9005898940290685,1.3543754995475996,6.283136967776602,0.14720231917798765,838.4541577386009,6693.776475639628,780.3469218727198,-4.840096651247842,-0.08564463908642021,5.941023615403839,2.8265939463354215e-05,-7.855765258782065e-06,1.5689080096924985e-05,3.324369136377864e-05,-1.1721567907810581e-06,-5.537587944906746e-07,6.639685183478242,83.40520644846006,413213.59327853937
0,attitude,130.40000000000114,-4.586723562554276e-07,-5.345534238062373e-07,5.586993492019916e-07,0,0,0,-0.001399020599593163,0.00048164415273834057,-0.0011662236502712783,-0.050264243095126344,-0.24594002889930086,-0.11800736852360341,0.9607607761691874,-0.04822451995195101,-0.24705079879475786,-0.11505609129065304,0.9609382885217931,6795.097312771696,0.0005996062004886172,0.9005898940290685,1.3543754995475996,6.283136811979749,0.14742816928705693,837.4861170746702,6693.759176329479,781.5351067228704,-4.84030994549117,-0.08734846164370955,5.940824833848073,2.8251315648491443e-05,-7.932502342388598e-06,1.5678700569087623e-05,3.324485341715323e-05,-1.1711435798905227e-06,-5.396524854779532e-07,6.649838772444416,83.41418197180023,413214.5924863536
0,attitude,130.60000000000113,-4.5975220853879796e-07,-5.342685955655936e-07,5.58114994235209e-07,0,0,0,-0.001385228033336999,0.0004976722106053084,-0.0011829671000983346,-0.05125498707149017,-0.24536390731038138,-0.11950265251831137,0.9606709089645483,-0.04822451995195101,-0.24705079879475786,-0.11505609129065304,0.9609382885217931,6795.097308378091,0.0005996055613105351,0.9005898940290686,1.3543754995475996,6.283136653523172,0.14765402204681122,836.5180337765305,6693.741536255269,782.723251786469,-4.840522993288652,-0.0890522796517582,5.9406257498410096,2.8236616763105664e-05,-8.010390014921956e-06,1.5667476861398836e-05,3.324601180108809e-05,-1.170131152542812e-06,-5.255454574912822e-07,6.659992222769046,83.42315782700871,413215.5931849582
0,attitude,130.80000000000112,-4.608339428997306e-07,-5.339794146980697e-07,5.575248741512702e-07,0,0,0,-0.001371403015050007,0.0005136915930462505,-0.0011996928463228727,-0.05222626164579684,-0.24477402515859062,-0.12101101987744607,0.9605802555072568,-0.04822451995195101,-0.24705079879475786,-0.11505609129065304,0.9609382885217931,6795.097304494034,0.0005996049962799874,0.9005898940290687,1.3543754995475996,6.283136513230772,0.14787985663333414,835.5499078934721,6693.723555417921,783.9113570030285,-4.840735794834631,-0.09075609302750805,5.940426363644633,2.8221831881746874e-05,-8.089429552728445e-06,1.5655408811760396e-05,3.324716651614684e-05,-1.169119508946831e-06,-5.114377135975139e-07,6.670145534233513,83.43213401460596,413216.59537417255
0,attitude,131.0000000000011,-4.619175775181739e-07,-5.33685696156499e-07,5.569287572378912e-07,0,0,0,-0.0013575454877244619,0.0005297021639309455,-0.0012164007090400095,-0.053178023584010636,-0.24417043009145206,-0.12253245974236122,0.960488779312981,-0.053178023584010636,-0.24417043009145206,-0.12253245974236122,0.960488779312981,6795.09730037278,0.0005996043967633054,0.9005898940290687,1.3543754995475996,6.283136364144983,0.14810570000418677,834.5817394747506,6693.7052338183685,785.0994223121056,-4.840948349852615,-0.0924599016791116,5.94022667494312,2.8206949960257718e-05,-8.169622043787874e-06,1.564249611061434e-05,3.32483175628946e-05,-1.1681086493115123e-06,-4.973292568620953e-07,6.680298706619524,83.44111053511281,413217.5990538113
0,attitude,131.2000000000011,-4.3184967639388947e-07,-5.239292340540836e-07,5.050893627597964e-07,0,0,0,-0.0013445899974326451,0.000545420040952568,-0.0012315533899228035,-0.05411088356707064,-0.24355320779635106,-0.12406632910019286,0.960396477104795,-0.053178023584010636,-0.24417043009145206,-0.12253245974236122,0.960488779312981,6795.09729591772,0.0005996037487098716,0.9005898940290687,1.3543754995475996,6.28313620273966,0.1483315556854965,833.6135285696715,6693.686571457567,786.2874476532025,-4.841160658297414,-0.09416370551895341,5.940026683704521,2.8191970047827304e-05,-8.250918276110457e-06,1.562874633752317e-05,3.324946494189792e-05,-1.1670985738458126e-06,-4.832200903490766e-07,6.690451739708268,83.45008738904976,413218.60422368906
0,attitude,131.40000000000109,-4.3293315008142633e-07,-5.236309854092426e-07,5.045063603998465e-07,0,0,0,-0.0013316020029302024,0.0005611289705148453,-0.001246688580734799,-0.05502545169686118,-0.24292244103187832,-0.12561198416143662,0.9603033462108195,-0.053178023584010636,-0.24417043009145206,-0.12253245974236122,0.960488779312981,6795.097291607867,0.0005996031218005772,0.9005898940290685,1.3543754995475996,6.2831360463590284,0.14855740633301817,832.6452752275496,6693.667568336483,787.4754329658128,-4.841372720328666,-0.09586750446343405,5.939826390148197,2.8176891699451385e-05,-8.333268950523497e-06,1.5614166875308263e-05,3.3250608653725e-05,-1.166089282758795e-06,-4.691102171222364e-07,6.700604633280826,83.4590645769373,413219.610883615
